"id","confidence","correct","domain","model","seed","signal"
"generative-42-fin-valid-79","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-80","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-81","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-82","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-83","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-84","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-85","0.8","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-86","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-87","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-88","0.2","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-89","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-90","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-91","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-92","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-93","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-94","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-95","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-96","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-97","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-98","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-99","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-100","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-101","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-102","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-103","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-104","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-105","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-106","0.4","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-107","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-108","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-109","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-110","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-111","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-112","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-113","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-114","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-115","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-116","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-117","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-118","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-119","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-120","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-121","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-122","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-123","0.4","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-124","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-125","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-126","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-127","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-128","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-129","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-130","0.6","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-131","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-132","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-133","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-134","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-135","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-136","0.2","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-137","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-138","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-139","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-140","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-141","0.8","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-142","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-143","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-144","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-145","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-146","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-147","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-148","1.0","0","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-valid-149","1.0","1","fin_valid","generative","42","conf_min_sc"
"generative-42-fin-test-0","0.4","0","fin_test","generative","42","conf_min_sc"
